Date,Open,High,Low,Close,Adj_Close,Volume,Compound,Negative,Neutral,Positive
12/1/2006,3.278571,3.2975,3.217857,3.261429,2.76829,795079600,0.7707,0.032,0.905,0.063
12/4/2006,3.281429,3.2875,3.232143,3.254286,2.762227,709536800,0.872,0.011,0.904,0.085
12/5/2006,3.273214,3.2975,3.245357,3.259643,2.766774,662838400,0,0,0,0
12/6/2006,3.237143,3.263929,3.2025,3.208214,2.723121,638184400,0.6858,0.029,0.878,0.093
12/7/2006,3.215357,3.232143,3.103571,3.108571,2.638545,1004827600,-0.6712,0.091,0.869,0.04
12/8/2006,3.115357,3.1925,3.107143,3.152143,2.675528,784277200,-0.1796,0.084,0.848,0.069
12/11/2006,3.175,3.189286,3.144643,3.169643,2.690382,499780400,-0.8743,0.105,0.852,0.042
12/12/2006,3.164643,3.172857,3.054643,3.076429,2.611262,1026620000,0,0,0,0
12/13/2006,3.141071,3.181071,3.1125,3.180357,2.699476,857052000,0.936,0.018,0.9,0.082
12/14/2006,3.180357,3.214286,3.152143,3.1625,2.684318,832330800,0.962,0.026,0.88,0.094
12/15/2006,3.179286,3.186429,3.118929,3.132857,2.659158,739939200,-0.5228,0.051,0.905,0.044
12/18/2006,3.129643,3.142857,3.021071,3.0525,2.590951,721576800,0.7059,0.03,0.887,0.082
12/19/2006,3.026071,3.095714,2.986429,3.0825,2.616415,911405600,-0.6705,0.132,0.78,0.088
12/20/2006,3.088214,3.095357,3.026429,3.027143,2.569428,567691600,-0.802,0.131,0.781,0.088
12/21/2006,3.025,3.052857,2.935714,2.960714,2.513044,903599200,0,0,0,0
12/22/2006,2.980714,3.001429,2.914286,2.935714,2.491824,613303600,0.7269,0.011,0.942,0.047
12/26/2006,2.933929,2.948929,2.888929,2.911071,2.470907,490688800,-0.7685,0.07,0.885,0.045
12/27/2006,2.791071,2.928571,2.741786,2.911429,2.47121,1935754800,0.9488,0.054,0.845,0.101
12/28/2006,2.865,2.901786,2.844643,2.888214,2.451506,1119876800,0.8636,0.076,0.814,0.11
12/29/2006,2.998214,3.05,2.977143,3.03,2.571854,1076429200,0.8914,0.07,0.802,0.128
1/3/2007,3.081786,3.092143,2.925,2.992857,2.540326,1238319600,-0.3881,0.082,0.851,0.067
1/4/2007,3.001786,3.069643,2.993571,3.059286,2.596712,847260400,0.8456,0.066,0.844,0.09
1/5/2007,3.063214,3.078571,3.014286,3.0375,2.578219,834741600,0.9698,0,0.922,0.078
1/8/2007,3.07,3.090357,3.045714,3.0525,2.590951,797106800,0.8798,0.072,0.826,0.102
1/9/2007,3.0875,3.320714,3.041071,3.306071,2.806182,3349298400,-0.946,0.102,0.853,0.045
1/10/2007,3.383929,3.492857,3.3375,3.464286,2.940474,2952880000,-0.8465,0.072,0.893,0.035
1/11/2007,3.426429,3.456429,3.396429,3.421429,2.904096,1440252800,0.6509,0.056,0.878,0.066
1/12/2007,3.378214,3.395,3.329643,3.379286,2.868326,1312690400,0.968,0.028,0.865,0.107
1/16/2007,3.417143,3.473214,3.408929,3.467857,2.943504,1244076400,-0.8212,0.074,0.869,0.058
1/17/2007,3.484286,3.485714,3.386429,3.391071,2.878329,1646260000,0.7482,0.073,0.83,0.097
1/18/2007,3.289286,3.289643,3.180357,3.181071,2.700082,2364605600,0.9592,0.059,0.822,0.119
1/19/2007,3.165357,3.201786,3.147143,3.160714,2.682804,1364473600,0.9864,0.022,0.828,0.149
1/22/2007,3.183571,3.184286,3.058929,3.099643,2.630966,1454026000,0.9829,0.034,0.85,0.116
1/23/2007,3.061786,3.125357,3.053929,3.060714,2.597924,1207424400,0.7184,0.033,0.917,0.05
1/24/2007,3.095714,3.1125,3.074286,3.096429,2.628238,927813600,-0.2592,0.063,0.887,0.05
1/25/2007,3.111071,3.160714,3.0725,3.080357,2.614597,905973600,0.9268,0,0.89,0.11
1/26/2007,3.111071,3.120357,3.035357,3.049286,2.588223,986874000,0.6187,0,0.932,0.068
1/29/2007,3.082143,3.094643,3.054643,3.069286,2.605198,901664400,0,0.107,0.787,0.107
1/30/2007,3.086786,3.088929,3.044643,3.055357,2.593377,577970400,0.9473,0.069,0.804,0.127
1/31/2007,3.030714,3.071429,3.0125,3.061786,2.598834,856069200,0.25,0.028,0.931,0.04
2/1/2007,3.079643,3.081071,3.026429,3.026429,2.568823,664342000,0.9152,0.022,0.905,0.073
2/2/2007,3.004286,3.044643,2.989286,3.026786,2.569125,621530000,-0.4235,0.083,0.846,0.071
2/5/2007,3.010714,3.043929,2.997857,2.997857,2.54457,578852400,0.8481,0.068,0.84,0.092
2/6/2007,3.016071,3.016786,2.959286,3.005357,2.550937,864393600,0,0,0,0
2/7/2007,3.017143,3.085,2.983929,3.076786,2.611566,1066825200,-0.2681,0.03,0.941,0.029
